lad_code,lad_name,total_listings,avg_nightly_price,median_nightly_price,avg_review_score,avg_availability_365,gp_surgery_count,gps_per_100000_people,total_parks_count,parks_per_100000_people,city,median_house_price_2025_lad,median_monthly_rent,str_annual_revenue_est,str_gross_yield,ltr_annual_revenue_est,ltr_gross_yield,str_vs_ltr_yield_delta
E09000028,Southwark,3217,174.32,122.0,4.67,208.0,45.0,14.262215614318848,296.0,93.81368255615234,london,491250.0,2395.0,28944.0,0.0589,28740.0,0.0585,0.0004
E09000010,Enfield,669,120.09,79.0,4.69,241.3,45.0,13.743437767028809,145.0,44.28440856933594,london,465000.0,1775.0,18743.0,0.0403,21300.0,0.0458,-0.0055
E09000020,Kensington and Chelsea,4773,334.27,225.0,4.67,206.8,31.0,21.02264976501465,61.0,41.367149353027344,london,1100000.0,3597.0,53381.0,0.0485,43164.0,0.0392,0.0093
E09000029,Sutton,363,96.85,73.0,4.75,230.4,22.0,10.420465469360352,94.0,44.523807525634766,london,469975.0,1547.0,17319.0,0.0369,18564.0,0.0395,-0.0026
E09000014,Haringey,1498,138.96,99.0,4.74,207.4,36.0,13.693679809570312,141.0,53.63357925415039,london,573750.0,2214.0,23488.0,0.0409,26568.0,0.0463,-0.0054
E09000022,Lambeth,2820,345.76,116.0,4.71,201.3,44.0,13.937017440795898,229.0,72.53584289550781,london,521695.0,2529.0,27521.0,0.0528,30348.0,0.0582,-0.0054
E09000008,Croydon,1186,102.36,72.0,4.62,247.0,51.0,12.82241439819336,127.0,31.930326461791992,london,415500.0,1565.0,17082.0,0.0411,18780.0,0.0452,-0.0041
E09000025,Newham,1653,154.57,118.0,4.64,224.7,48.0,13.239480018615723,161.0,44.40742111206055,london,430000.0,1918.0,27996.0,0.0651,23016.0,0.0535,0.0116
E09000023,Lewisham,1543,121.31,94.0,4.69,218.2,36.0,12.05190372467041,154.0,51.55536651611328,london,477750.0,1816.0,22302.0,0.0467,21792.0,0.0456,0.0011
E09000012,Hackney,3173,161.03,126.0,4.74,195.8,38.0,14.43319320678711,189.0,71.78614807128906,london,585000.0,2615.0,29894.0,0.0511,31380.0,0.0536,-0.0025
E09000005,Brent,2063,173.37,107.0,4.66,206.9,61.0,17.70574188232422,123.0,35.701744079589844,london,548125.0,1990.0,25386.0,0.0463,23880.0,0.0436,0.0027
E09000002,Barking and Dagenham,545,108.56,82.0,4.6,258.5,38.0,17.093402862548828,86.0,38.68506622314453,london,377500.0,1688.0,19454.0,0.0515,20256.0,0.0537,-0.0022
E09000009,Ealing,1608,140.32,90.0,4.66,229.0,71.0,18.916183471679688,183.0,48.755794525146484,london,527500.0,2057.0,21352.0,0.0405,24684.0,0.0468,-0.0063
E09000017,Hillingdon,714,108.55,70.0,4.62,268.2,46.0,14.419249534606934,193.0,60.49815368652344,london,483750.0,1553.0,16608.0,0.0343,18636.0,0.0385,-0.0042
E09000019,Islington,2756,217.53,141.0,4.67,196.0,33.0,14.960287094116211,194.0,87.94835662841797,london,648750.0,2811.0,33452.0,0.0516,33732.0,0.052,-0.0004
