msoa_code,msoa_name,lad_code,lad_name,city,review_count,avg_sentiment_score,pct_negative,pct_neutral,pct_positive,sample_reviews
E02000001,City of London 001,E09000001,City of London,london,1064,0.7681,3.5999999999999996,1.39,95.00999999999999,"AirBnB recognised the issues below and gave us  a 30% discount - calling that out as it’s appreciated.<br/>The host owns the entire building and is renovating it but still renting out the apartments a | We had a lovely weekend stay at this cosy and well-located apartment in London. There was a small hiccup with the keys when we arrived, but our host was incredibly responsive and helpful—coming by ver | Great location.  Nice to have two bathrooms!  Close to transportation, pubs and restaurants.   Rob was helpful and answered all of my questions ahead of our trip!"
E02000001,City of London 001,E09000030,Tower Hamlets,london,19,0.879,3.5999999999999996,1.39,95.00999999999999,"AirBnB recognised the issues below and gave us  a 30% discount - calling that out as it’s appreciated.<br/>The host owns the entire building and is renovating it but still renting out the apartments a | We had a lovely weekend stay at this cosy and well-located apartment in London. There was a small hiccup with the keys when we arrived, but our host was incredibly responsive and helpful—coming by ver | Great location.  Nice to have two bathrooms!  Close to transportation, pubs and restaurants.   Rob was helpful and answered all of my questions ahead of our trip!"
E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,london,33,0.7719,0.0,3.0300000000000002,96.97,"Toni’s house was perfect for us, extremely close to our location, the house was immaculate with everything we needed.<br/>Our host was polite and helpful <br/>We would have booked another week but we  | I stayed in this Airbnb for just over a month and it was great! Ather was there to greet us when we arrived and gave us a tour of the place before handing us our keys. We felt super secure as there we | Monalisa's place was a slice of heaven. It was very neat and well-furnished. Monalisa also had some treats in the fridge and kitchen waiting for us.<br/>I can't wait to stay there again."
E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,london,55,0.8483,0.0,0.0,100.0,"Nice host. The area felt abit sketchy | I had a wonderful stay at Travelnest place! The room was exactly as described—clean, cozy, and very comfortable. The bed was soft and the linens were fresh, which made for a great night’s sleep. The l | Andras was an awesome host. The room was spacious with lots of storage, and we were surprised how aesthetically he organised the room to welcome guests. Will come again!"
E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,london,19,0.689,5.26,0.0,94.74000000000001,"Host was great and very responsive until he cancelled our trip an hour before we arrived. No explanation offered until I asked! It was unfortunate and unavoidable, but extremely inconvenient after a v | This guy is a professional, all instructions were so clear, self check in was perfect, extremely clean. Basically was like a hotel. Provided towels, shampoo and even hair conditioner. only thing, it's | Excellent and seamless stay. Higly recommend."
E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,london,26,0.6159,3.85,7.6899999999999995,88.46000000000001,"If you’re looking for a clean and a comfortable place then don’t book this room. The house is overall in a liveable condition but room we stayed in was dirty. They have only made a money making scheme | lovely place to stay. the hostess is very lovely and  welcoming I would highly recommend this place. and breakfast was top notch!! 🥰 | I can’t say much ,I can only say that I’m visiting for the 3rd time in a year and half and I’ll choose them again .Everything is perfect for me and exactly what I want"
E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,london,93,0.7744,2.15,3.2300000000000004,94.62,"Booking was cancelled on the day,  3 hours prior to check in time for an apparent leak that had occurred at the property. The guests had already left their home ready for arrival. The host advised the | ⭐️⭐️⭐️⭐️⭐️ 5/5 - A Perfect Stay!<br/>This flat exceeded all expectations! Spotlessly clean, beautifully decorated, and equipped with everything you could possibly need, Riz, the host, even bought new  | I was happy with my stay especially as it was facilitated for me at late notice. Abi described it as cozy which it is and responded to my messages promptly. Property is a little run down in places but"
E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,london,25,0.7082,4.0,0.0,96.0,"The advert for this property does not reflect the tranquil setting it suggests. On arrival we were met with overflowing bins & knee high weeds, the back garden was full of cigarette butts & empty alco | I booked this space for a video viewing with a subsequent proposal, and couldn't have been more blessed by Susie throughout the process. Susie was very responsive and attentive to my needs for the big | pleasant one night stay, clean and quiet, would use again."
E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,london,53,0.7265,7.55,0.0,92.45,"this was a terrible experience & i was sorry i booked it. was working in the area & brought my wife over to stay with me for a week, & we both couldnt wait to get out of the place. problem with parkin | the pictures don’t even do this place justice! it was so nice staying in this airbnb it was clean and in a great residential location. this place was considerably luxurious with all the neat beds and  | A beautiful home with the kindest host! Could stay here forever!!!"
E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,london,43,0.7038,4.65,2.33,93.02,"I didn’t enjoy the stay. The rooms were not well equipped. It said that the host provides a hair dryer. And it was supposed to be in the washroom. I never saw any hair dryer there. Rather the washroom | A wonderful stay, very welcoming, a clean and comfortable house. Thank you for making me feel so welcome. I would love to return here for my next holiday. | Staying at John’s house made us all wonderful feeling."
